Designator,Quantity,Comment,Manufacturer Part Number 1,Footprint,Description

"C2, C5, C8, C11, C30, C32, C34, C36, C38, C40, C48, C61, C62, C63, C64, C66, C67","17",".1uF","VJ0603Y104JXJCW1BC","C0603","0603 0.1 uF 16 V ±5 % Tolerance X7R SMT Multilayer Ceramic Chip Capacitor"
"C43, C45, C52, C54, C55, C56, C57, C58","8",".1uF","GRM155R71A104JA01D","C0402","0402 0.1 uF 10 V ±5% Tolerance X7R SMT Multilayer Ceramic Capacitor"
"C39, C42, C60, C70","4",".47uF","C0603C474J4RACAUTO","C0603","KEMET - C0603C474J4RACAUTO - CAP, 0.47µF, 16V, 5%, X7R, 0603"
"C65","1",".47uF","VJ0805Y474JXJTW1BC","C0805","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0805 0.47uF 16volts X7R 5%"
"R33, R35","2","1K","TNPW06031K00BEEA","R0603","RES 1K OHM 0.1% 1/8W 0603"
"C3, C6, C9, C12, C29, C31, C33, C35, C49","9","1uF","CL10B105KO8NNNC","C0603","Cap Ceramic 1uF 16V X7R 10% SMD 0603 125C T/R"
"R25, R26, R27, R28, R29, R30, R31, R32","8","1.27K","TNPW060310K0BEEA","R0603","RES SMD 1.27K OHM 0.1% 1/6W 0603"
"J6","1","2pin header","","HEADERPINS_2X1",""
"C41","1","2.2uF","VJ0603Y224KXJCW1BC","C0603","Cap Ceramic 0.22uF 16V X7R 10% SMD 0603 125C Paper T/R"
"R5, R6, R7, R8","4","5M","TNPW06031K00BEEA","R0603","RES SMD 5M OHM 1% 1/10W 0603"
"C50","1","5.6nF","","C0402","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50volts 5600pF 5% C0G"
"B1","1","9V","","HEADERPINS_2X1_POWER",""
"R37, R38, R39, R40, R41, R42, R44, R51, R52, RT1","10","10k","[NoParam], ERT-J1VG103JA","R0603","RES SMD 10K OHM 5% 1/10W 0603, Thermistor NTC 10KOhm 5% 2-Pin 0603 Punched Carrier T/R"
"C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28","16","10nF","GRM155R71A104JA01D","C0603","CAP CER 10000PF 25V C0G/NP0 0603"
"C37, C44, C46, C71, C72, C73, C74, C75","8","10uF","GCM21BR71A106KE22K","C0805","CAP CER 10UF 10V X7R 0805"
"C53, C59","2","18pF","","C0603","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 18pF C0G 0603 1% Tol"
"R45","1","20k","MCT06030E2002BP500","R0603","Res Thin Film 0603 20K Ohm 0.1% 0.1W(1/10W) ±15ppm/C Molded SMD Automotive Medical Paper T/R"
"C47, C68, C69","3","22UF TANT","293D226X9035D2TE3","CAP_293D_D_VIS","CAP TANT 22UF 10% 35V 2917"
"R46, R47, R48, R49","4","24","ERJU03F24R0V","C0603","Thick Film Resistors - SMD 0603 1% 24ohm Anti-Sulfur AEC-Q200"
"R36","1","121","RP73PF1J121RBTDF","R0603","TE CONNECTIVITY         RP73PF1J121RBTDF             SMD Chip Resistor, Thin Film, 121 ohm, 100 V, 0603 [1608 Metric], 166 mW,  0.1%, RN73 Series"
"R34, R43, R50","3","150k","RC0603JR-0710KL","R0603","CRGCQ 0603 150K 1%"
"R1, R2, R3, R4","4","330","MCT06030C3300FP500","R0603","RES SMD 330 OHM 1% 1/8W 0603"
"C1, C4, C7, C10","4","330pF","","C0603","CAP CER 330PF 50V X7R 0603"
"R13, R14, R15, R16, R21, R22, R23, R24","8","383","TNPW060310K0BEEA","R0603","RES SMD 383 OHM ±0.1% 0.167W, 1/6W Chip Resistor 0603 (1608 Metric) - Thin Film"
"C51","1","390pF","","C0402","CAP CER 390PF 50V C0G/NP0 0603"
"R9, R10, R11, R12, R17, R18, R19, R20","8","523","TNPW060310K0BEEA","R0603","RES SMD 523 OHM 0.1% 1/6W 0603"
"U9","1","ADAR7251WBCSZ","","ADI-CS-48-1_L","Continuous Time Data Acquisition ADC, 4-Channel, 16-Bit, -40 to 125 degC, 48-Pin QFN (CS-48-1), RoHS, Tray"
"U13","1","ADUM3160BRWZ","","RW_16_ADI-L","USB Isolation"
"J8","1","AUX_JUMPER","","HEADERPINS_4X1",""
