Quantity,Comment,Manufacturer Part Number 1,Description

"8",".1uF","GRM155R71A104JA01D","0402 0.1 uF 10 V ±5% Tolerance X7R SMT Multilayer Ceramic Capacitor"
"17",".1uF","VJ0603Y104JXJCW1BC","0603 0.1 uF 16 V ±5 % Tolerance X7R SMT Multilayer Ceramic Chip Capacitor"
"1",".47uF","VJ0805Y474JXJTW1BC","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0805 0.47uF 16volts X7R 5%"
"4",".47uF","C0603C474J4RACAUTO","KEMET - C0603C474J4RACAUTO - CAP, 0.47µF, 16V, 5%, X7R, 0603"
"2","1K","TNPW06031K00BEEA","RES 1K OHM 0.1% 1/8W 0603"
"9","1uF","CL10B105KO8NNNC","Cap Ceramic 1uF 16V X7R 10% SMD 0603 125C T/R"
"8","1.27K","TNPW060310K0BEEA","RES SMD 1.27K OHM 0.1% 1/6W 0603"
"1","2pin header","",""
"1","2.2uF","VJ0603Y224KXJCW1BC","Cap Ceramic 0.22uF 16V X7R 10% SMD 0603 125C Paper T/R"
"4","5M","TNPW06031K00BEEA","RES SMD 5M OHM 1% 1/10W 0603"
"1","5.6nF","","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50volts 5600pF 5% C0G"
"1","9V","",""
"10","10k","[NoParam], ERT-J1VG103JA","RES SMD 10K OHM 5% 1/10W 0603, Thermistor NTC 10KOhm 5% 2-Pin 0603 Punched Carrier T/R"
"16","10nF","GRM155R71A104JA01D","CAP CER 10000PF 25V C0G/NP0 0603"
"8","10uF","GCM21BR71A106KE22K","CAP CER 10UF 10V X7R 0805"
"2","18pF","","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 18pF C0G 0603 1% Tol"
"1","20k","MCT06030E2002BP500","Res Thin Film 0603 20K Ohm 0.1% 0.1W(1/10W) ±15ppm/C Molded SMD Automotive Medical Paper T/R"
"3","22UF TANT","293D226X9035D2TE3","CAP TANT 22UF 10% 35V 2917"
"4","24","ERJU03F24R0V","Thick Film Resistors - SMD 0603 1% 24ohm Anti-Sulfur AEC-Q200"
"1","121","RP73PF1J121RBTDF","TE CONNECTIVITY         RP73PF1J121RBTDF             SMD Chip Resistor, Thin Film, 121 ohm, 100 V, 0603 [1608 Metric], 166 mW,  0.1%, RN73 Series"
"3","150k","RC0603JR-0710KL","CRGCQ 0603 150K 1%"
"4","330","MCT06030C3300FP500","RES SMD 330 OHM 1% 1/8W 0603"
"4","330pF","","CAP CER 330PF 50V X7R 0603"
"8","383","TNPW060310K0BEEA","RES SMD 383 OHM ±0.1% 0.167W, 1/6W Chip Resistor 0603 (1608 Metric) - Thin Film"
"1","390pF","","CAP CER 390PF 50V C0G/NP0 0603"
"8","523","TNPW060310K0BEEA","RES SMD 523 OHM 0.1% 1/6W 0603"
"1","ADAR7251WBCSZ","","Continuous Time Data Acquisition ADC, 4-Channel, 16-Bit, -40 to 125 degC, 48-Pin QFN (CS-48-1), RoHS, Tray"
"1","ADUM3160BRWZ","","USB Isolation"
"1","AUX_JUMPER","",""
"1","ECS-192-12-33-AGM-TR","ECS-192-12-33-AGM-TR","Crystal 19.2MHz ±25ppm (Tol) ±30ppm (Stability) 12pF FUND 80Ohm 4-Pin Mini-CSMD T/R"
"4","J","",""
"1","MIC29301-5.0WU-TR","MIC29301-5.0WU-TR","LDO Regulator Pos 5V 3A Automotive 6-Pin(5+Tab) TO-263 T/R"
"1","MicroUSB","","HIROSE(HRS) - ZX62-B-5PA(33) - USB-Steckverbinder, Micro-USB Typ B, USB 2.0, Buchse, 5 -polig, Oberflächenmontage, Rechtwinklig"
"4","OPA320","OPA325IDBVR","General Purpose Amplifier Circuit Rail-to-Rail SOT-23-5"
"1","OPA325","OPA325IDBVR",""
"1","OPA325","OPA325IDBVR",""
"1","Teensy 4.1","",""
"4","THS4551IDGKT","THS4551IDGKT","Low Noise, Precision, 150MHz, Fully Differential Amplifier 8-VSSOP -40 to 125"
"4","TP","","5029 SMD 0805 TP, RCT-0C SMD 0805 TP"
"2","TPS76833QD","","3.3V Linear Voltage Regulator IC 1 Output 1A 8-SOIC"
